ID,ObsType,Latitude,Longitude,Elevation(m),LocalDate,LocalTime,UTDate,UTTime,LimitingMag,SQMReading,SQMSerial,CloudCover,Constellation,SkyComment,LocationComment,Country
200060,GAN,47.369,-68.3267,0.0,2010-10-02,21:45,2010-10-02,18:45,7,,,clear,Leo,,,Canada
192787,GAN,33.2148,-97.1331,199.37,2010-10-10,16:30,2010-10-10,11:30,4,,,clear,Cygnus,,,United States - Texas
190041,GAN,-33.9362,18.8353,126.48,2010-04-24,23:30,2010-04-25,01:30,4,18.67,5739,clear,Crux,"Clear cloud 0/10, wind 2/10 SSE, dew 3/10","Suburban, sky glow from Stellenbosch and Cape town plus street lights",South Africa
190039,GAN,-33.8511,18.9675,166.58,2010-04-24,23:00,2010-04-25,01:00,5,19.21,5739,clear,Crux,"Clear, cloud 0/10, wind 3/10","Rural, wine farm lights visible, sky glow from Paarl and Franschhoek. Moon",South Africa
190032,GAN,-32.6755,21.5115,701.19,2010-05-01,19:30,2010-05-01,21:30,5,20.14,5739,clear,Crux,"Clear, cloud 0/10, wind 0/10, dew 0/10","Urban, street lighting shielded by trees, tall sodium vapor lights about one km away",South Africa
190031,GAN,-32.6755,21.5115,701.19,2010-04-30,19:50,2010-04-30,21:50,5,19.99,5739,clear,Crux,"Clear cloud 0/10, w 0/10, dew 0/10","Urban, street lighting shielded by trees, tall sodium vapor lights about one km away",South Africa
188158,GAN,-30.4156,23.5634,1126.93,2010-08-08,22:30,2010-08-09,00:30,6,21.71,5739,clear,Sagittarius,"Clear, w 2/10 NW, 7.0°C","Rural, Nearest town 40 km",South Africa
188157,GAN,-30.4156,23.5634,1126.93,2010-08-07,22:25,2010-08-08,00:25,6,21.74,5739,clear,Sagittarius,"Clear, w 3/10 NW, 5.0°C","Rural, Nearest town 40 km",South Africa
188156,GAN,-30.4156,23.5634,1126.93,2010-08-06,22:35,2010-08-07,00:35,6,21.2,5739,clear,Sagittarius,"Clear, w 3/10 NW, 9.0°C","Rural, 30 km nearest town",South Africa
188134,GAN,-33.8811,18.6831,71.02,2010-06-06,23:30,2010-06-07,01:30,6,21.13,5739,clear,Scorpius,"Clear, w 2/10 WNW, 12.0°C","Rural, 12 km from nearest town",South Africa
188133,GAN,-33.5436,18.8501,142.14,2010-06-05,20:46,2010-06-05,22:46,6,21.13,5739,clear,Scorpius,"Clear, w 3/10 WNW, 12.2°C","Rural, 12 km from nearest town",South Africa
188109,GAN,-32.4085,20.6588,1464.04,2010-06-10,22:31,2010-06-11,00:31,6,21.68,5739,clear,Scorpius,"Clear, w 4/10 WNW, 7.0°C","Rural, 2 km from Sutherland",South Africa
188108,GAN,-32.4085,20.6588,1464.04,2010-04-14,21:00,2010-04-14,23:00,6,21.24,5739,1/4 of sky,Crux,"Cloud 2/10, w 2/10 SSE, 15.0°C","Rural, 2 km from Sutherland",South Africa
188107,GAN,-32.4085,20.6588,1464.04,2010-04-14,23:15,2010-04-15,01:15,6,21.73,5739,clear,Crux,"Clear, w 2/10 SSE, 15.0°C","Rural, 2 km from Sutherland",South Africa
188106,GAN,-32.4084,20.6596,1463.81,2010-04-07,22:35,2010-04-08,00:35,6,21.57,5739,clear,Crux,"Clear, w 1/10 SSW, 16.0°C","Rural, 2 km from Sutherland",South Africa
188105,GAN,-32.3796,20.811,1762.82,2010-04-12,23:45,2010-04-13,01:45,6,21.69,5739,clear,Crux,"Clear, w 3/10 SE, 16°C","Rural, 25 km from Sutherland",South Africa
188104,GAN,-32.3771,20.668,1442.01,2010-04-13,22:55,2010-04-14,00:55,6,21.73,5739,clear,Crux,"Clear, w 0/10, 14.0°C","Rural, 3 km from Sutherland",South Africa
188103,GAN,-32.3939,20.6614,1460.98,2010-04-09,23:50,2010-04-10,01:50,6,20.73,5739,clear,Crux,"Clear, w 0/10, 16.0°C",Urban,South Africa
188102,GAN,-32.3974,20.6602,1458.54,2010-04-07,22:00,2010-04-08,00:00,5,20.24,5739,clear,Crux,"Clear, w 0/10, 19.0°C",Urban,South Africa
78811,GAN,18.3643,-66.0171,78.92,2010-04-01,20:30,2010-04-01,16:30,4,,,1/4 of sky,Leo,,Urban Area,Puerto Rico
78810,GAN,18.3644,-66.0172,80.02,2010-04-02,22:40,2010-04-02,18:40,3,,,1/2 of sky,Leo,,Urban Area,Puerto Rico
78809,GAN,18.3643,-66.0172,80.75,2010-04-03,20:30,2010-04-03,16:30,4,,,clear,Leo,,Urban Area,Puerto Rico
78808,GAN,18.3643,-66.0172,80.75,2010-04-04,21:15,2010-04-04,17:15,-9999,,,over 1/2 of sky,Leo,"Ful covered sky because of clouds, it was raining momentarily.",Urban Area,Puerto Rico
78807,GAN,18.3644,-66.0172,80.02,2010-04-06,22:00,2010-04-06,18:00,4,,,1/4 of sky,Leo,,Urban Area,Puerto Rico
78806,GAN,18.3643,-66.0171,78.92,2010-04-05,20:45,2010-04-05,16:45,3,,,clear,Leo,,Urban Area,Puerto Rico
78805,GAN,18.3644,-66.0172,80.02,2010-04-04,21:25,2010-04-04,17:25,2,,,1/2 of sky,Leo,,Urban Area,Puerto Rico
67582,GAN,30.0655,-95.3909,34.59,2010-02-28,18:36,2010-02-28,12:36,3,,,over 1/2 of sky,Orion,The sky is cloudy . I can see very little stars .,"suburban  no snow , cool weather .my porch light is on and i have   one big pecan tree",United States - Texas
51097,GAN,22.3027,73.2043,42.0,2010-02-21,22:50,2010-02-22,04:20,3,,,clear,Orion,clear with main road lights around.,urban area with huge buildings around and 3 to 4 street lights .,India
51096,GAN,22.3027,73.2043,42.0,2010-02-21,22:50,2010-02-22,04:20,3,,,clear,Orion,clear with main road lights around.,urban area with huge buildings around and 3 to 4 street lights .,India
51077,GAN,36.1161,-97.1238,271.65,2010-03-26,22:27,2010-03-26,17:27,0,13.37,,clear,Orion,"clear 54 degrees waning gibbous moon= 76% of moon was illuminated, 2 mile per hour wind","Wilson Chevy, Stillwater OK, edge of parking lot by sign",United States - Oklahoma
51076,GAN,36.16,-97.0801,293.26,2010-03-24,21:55,2010-03-24,16:55,4,18.38,,clear,Orion,"clear 54 degrees waning gibbous moon= 76% of moon was illuminated, 2 mile per hour wind",Stillwater Airport at Stillwater Aircraft Serv.,United States - Oklahoma
51075,GAN,35.6276,-97.4602,367.03,2010-03-24,21:30,2010-03-24,16:30,1,,,clear,Orion,,"Spring Creek Shopping Center: 15th & Bryant, Edmond OK- parking lot lamp post",United States - Oklahoma
51074,GAN,36.1062,-97.0992,266.64,2010-03-24,21:20,2010-03-24,16:20,5,19.1,,clear,Orion,"clear 54 degrees waning gibbous moon= 76% of moon was illuminated, 2 mile per hour wind",Berry Creek Clubhouse,United States - Oklahoma
51073,GAN,36.1062,-97.0992,266.64,2010-03-21,22:30,2010-03-21,17:30,5,19.07,,clear,Orion,"clear 54 degrees waning gibbous moon= 76% of moon was illuminated, 2 mile per hour wind","3203 W. Old Forest Ave., Stillwater OK",United States - Oklahoma
