ID,ObsType,Latitude,Longitude,Elevation(m),LocalDate,LocalTime,UTDate,UTTime,LimitingMag,SQMReading,SQMSerial,CloudCover,Constellation,SkyComment,LocationComment,Country
19318,GAN,9.96689,-84.2241,845.82,2008-03-09,20:04,2008-03-09,14:04,3,,,1/2 of sky,Orion,,,Costa Rica
19317,GAN,26.9226,-82.2661,2.75,2008-03-08,23:59,2008-03-08,18:59,3,,,clear,Orion,"Great Location, no lights around, very dark!  The real date is 4:15 am 3-09-08","Clear sky, not asingle cloud,",United States - Florida
19316,GAN,26.9226,-82.2661,2.75,2008-03-08,23:59,2008-03-08,18:59,3,,,clear,Orion,"Perfect location! no lights around/ very dark place  I want to sleep, but i have to go outside in boxers when its 10*C (50F) and freeze my self to death untill i find stars that make up rumbus!!!!",No clounds! Few fast moving objects in the sky.,United States - Florida
19315,GAN,-30.24,-70.7367,2688.66,2008-03-08,23:59,2008-03-08,20:59,6,,,clear,Orion,"Altitude 8900 ft, at Gemini South Observatory.",,Chile
19314,GAN,36.025,-114.948,610.02,2008-03-08,23:55,2008-03-08,15:55,3,16.66,,clear,Orion,,,United States - Nevada
19313,GAN,33.8762,-84.3363,294.88,2008-03-08,23:50,2008-03-08,18:50,1,,,1/4 of sky,Orion,,,United States - Georgia
19312,GAN,43.8949,-71.2053,224.08,2008-03-08,23:30,2008-03-08,18:30,6,,,clear,Orion,"White Mtns. New Hampshire. Low light pollution, very easy to see",Clear Sky,United States - New Hampshire
19311,GAN,37.3894,-81.4099,702.26,2008-03-08,23:25,2008-03-08,18:25,3,,,clear,Orion,MVMS/TH,I saw some stars.,United States - West Virginia
19310,GAN,-33.8767,151.221,48.06,2008-03-08,23:20,2008-03-09,10:20,3,16.8,,clear,Orion,"top of block of units in Darlinghurst, central Sydney",,Australia
19309,GAN,32.2294,-110.951,741.95,2008-03-08,23:20,2008-03-08,16:20,4,,,clear,Orion,,,United States - Arizona
19308,GAN,45.095,14.1197,213.66,2008-03-08,23:18,2008-03-09,00:18,4,,,clear,Orion,"LABIN,PRESIKA, residence zone, streetlights 30m",,Croatia
