ID,ObsType,Latitude,Longitude,Elevation(m),LocalDate,LocalTime,UTDate,UTTime,LimitingMag,SQMReading,SQMSerial,CloudCover,Constellation,SkyComment,LocationComment,Country
257816,GAN,-34.8959,-56.1644,48.6828,2006-01-24,13:00,2006-01-24,11:00,5,,,over 1/2 of sky,Orion,,zona urbana con mucho arbol,Uruguay
72572,GAN,-35.4413,-71.6318,119.44,2006-03-06,21:11,2006-03-06,18:11,2,,,clear,Orion,"No habían nubes , se veían pocas estrellas y parecían de color azul , parpadeaban constantemente y había una que brillaba mas que todas.","ubicación: urbana de clima templado-caluroso,con 5 postes de luz .  Hay un árbol en la esquina de la 30 y media y una hilera de los mismos en la 8 Sur , también hay un  cartel de gas en las proximidades.",Chile
3990,GAN,37.091,-76.286,1.82,2006-03-31,23:00,2006-03-31,18:00,6,,,clear,Orion,"We typically have Sky Quality Meter readings of 19.68 at our urban Grundland Astronomy Park in Hampton. Last Saturday night, we had our highest reading of 19.85 after the Moon set.  Here is the Sky Quality Meter site: http://unihedron.com/projects/darksky/ 19.85 mag/arcsec-squared = 1.24 x 10-3 cd/meters-squared best 19.68 mag/arcsec-squared 1.45 x 10-3 cd/meters-squared typical","Here is the Clear Sky Clock page for our site, Grundland Astronomy Park: http://www.cleardarksky.com/c/GndlndAPGAkey.html",United States - Virginia
3989,GAN,22.2533,15.4361,929.83,2006-03-22,20:25,2006-03-22,21:25,7,,,clear,Orion,,,Chad
3988,GAN,36.6733,-120.345,51.54,2006-03-28,21:00,2006-03-28,13:00,4,,,1/4 of sky,Orion,My son did an entire science project in January observing sky brightness and relating that with elevation and distance from the city of Salinas near us. The magnitude in our back yard was consistently 4.3 to 5 (differences being mostly between myself and,Backyard. Turned out all the lights.,United States - California
3987,GAN,42.49,-92.387,259.99,2006-03-25,19:30,2006-03-25,13:30,4,,,1/4 of sky,Orion,"GLOBE1 Black Hawk Co, Iowa",,United States - Iowa
3986,GAN,30.225,-95.143,35.89,2006-03-23,21:40,2006-03-23,15:40,4,,,clear,Orion,,,United States - Texas
3985,GAN,51.1062,17.1058,118.8,2006-03-29,22:00,2006-03-30,00:00,3,,,clear,Orion,,,Poland
3984,GAN,51.1062,17.1058,118.8,2006-03-28,21:30,2006-03-28,23:30,2,,,1/4 of sky,Orion,,,Poland
3983,GAN,51.1062,17.1058,118.8,2006-03-27,22:25,2006-03-28,00:25,3,,,clear,Orion,,,Poland
3982,GAN,51.1062,17.1058,118.8,2006-03-26,21:30,2006-03-26,23:30,1,,,over 1/2 of sky,Orion,,,Poland
3981,GAN,51.1062,17.1058,118.8,2006-03-25,21:20,2006-03-25,22:20,2,,,1/2 of sky,Orion,,,Poland
3980,GAN,51.1062,17.1058,118.8,2006-03-24,20:05,2006-03-24,21:05,2,,,1/4 of sky,Orion,,,Poland
3979,GAN,51.1062,17.1058,118.8,2006-03-23,21:00,2006-03-23,22:00,3,,,clear,Orion,,,Poland
3978,GAN,51.1062,17.1058,118.8,2006-03-22,20:20,2006-03-22,21:20,3,,,clear,Orion,,,Poland
3977,GAN,51.1422,17.0548,117.08,2006-03-30,21:50,2006-03-30,23:50,3,,,1/4 of sky,Orion,,,Poland
3976,GAN,51.1422,17.0548,117.08,2006-03-29,22:00,2006-03-30,00:00,3,,,1/4 of sky,Orion,,,Poland
3975,GAN,51.1422,17.0548,117.08,2006-03-28,22:00,2006-03-29,00:00,3,,,1/4 of sky,Orion,,,Poland
3974,GAN,51.1422,17.0548,117.08,2006-03-27,21:50,2006-03-27,23:50,3,,,clear,Orion,,,Poland
3973,GAN,-43.801,-71.68,785.79,2006-03-27,19:30,2006-03-27,16:30,6,,,clear,Orion,Clear,There is one garage light within fifty yards that is shielded.,Argentina
3972,GAN,51.1422,17.0548,117.08,2006-03-25,21:50,2006-03-25,22:50,1,,,over 1/2 of sky,Orion,,,Poland
3971,GAN,51.1422,17.0548,117.08,2006-03-24,21:45,2006-03-24,22:45,3,,,1/4 of sky,Orion,,,Poland
3970,GAN,51.1422,17.0548,117.08,2006-03-23,21:40,2006-03-23,22:40,2,,,1/4 of sky,Orion,,,Poland
3969,GAN,51.1422,17.0548,117.08,2006-03-22,22:00,2006-03-22,23:00,3,,,1/4 of sky,Orion,,,Poland
3968,GAN,43.755,-71.693,181.87,2006-03-27,20:50,2006-03-27,15:50,5,,,clear,Orion,"Behinf mt house, there are tall trees that cover 1 quarter of ethe sky, but I still can see somo stars among the branches and I was able to see the all of the Orion's stars).",There is one street light within 20 meters in front of my house that is shielded from my view.,United States - New Hampshire
3967,GAN,51.1422,17.0848,119.19,2006-03-29,21:00,2006-03-29,23:00,3,,,1/4 of sky,Orion,,,Poland
3966,GAN,51.1422,17.0848,119.19,2006-03-28,20:50,2006-03-28,22:50,3,,,1/4 of sky,Orion,,,Poland
3965,GAN,43.755,-71.693,181.87,2006-03-29,19:25,2006-03-29,14:25,6,,,clear,Orion,"It was at the Fox Park, so there were a lot of trees around, but I still could see the Orion's stars and the sky was was pretty dark.",There is one street light on within 70 meters that is shielded my view.,United States - New Hampshire
3964,GAN,51.1422,17.0848,119.19,2006-03-27,21:20,2006-03-27,23:20,3,,,clear,Orion,,,Poland
3963,GAN,51.1422,17.0848,119.19,2006-03-26,21:15,2006-03-26,23:15,1,,,over 1/2 of sky,Orion,,,Poland
3962,GAN,51.1422,17.0848,119.19,2006-03-25,21:10,2006-03-25,22:10,2,,,1/2 of sky,Orion,,,Poland
3961,GAN,51.1422,17.0848,119.19,2006-03-23,20:30,2006-03-23,21:30,3,,,1/4 of sky,Orion,,,Poland
3960,GAN,43.867,-71.905,191.21,2006-03-26,19:55,2006-03-26,14:55,5,,,clear,Orion,,Theres a street light about 150 feet from me,United States - New Hampshire
3959,GAN,51.1422,17.0848,119.19,2006-03-22,21:00,2006-03-22,22:00,3,,,clear,Orion,,,Poland
3958,GAN,51.0722,17.0205,124.0,2006-03-29,22:00,2006-03-30,00:00,3,,,clear,Orion,,,Poland
3957,GAN,51.0722,17.0348,124.73,2006-03-28,21:30,2006-03-28,23:30,2,,,clear,Orion,,,Poland
3956,GAN,44.832,-71.719,381.54,2006-03-27,20:00,2006-03-27,15:00,5,,,1/4 of sky,Orion,"Slight haze to the north-north east.  This was not the clearest night I've seen at this adress, but the moon was bright enough to distract my eyes a little bit.",There is a minute amount of light polution coming from nearby town of Plymouth. The nearest exterior light is at a neighbor's house about one-quarter of a mile down the road.,United States - Vermont
3955,GAN,51.0722,17.0348,124.73,2006-03-27,22:15,2006-03-28,00:15,3,,,1/4 of sky,Orion,,,Poland
3954,GAN,51.0722,17.0348,124.73,2006-03-26,21:30,2006-03-26,23:30,1,,,over 1/2 of sky,Orion,,,Poland
3953,GAN,37.3591,-76.9298,23.94,2006-03-26,20:30,2006-03-26,15:30,5,,,clear,Orion,,,United States - Virginia
3952,GAN,37.3031,-76.9368,12.6,2006-03-26,20:15,2006-03-26,15:15,5,,,clear,Orion,,,United States - Virginia
3951,GAN,51.0722,17.0348,124.73,2006-03-25,20:20,2006-03-25,21:20,2,,,1/4 of sky,Orion,,,Poland
3950,GAN,37.2551,-77.0528,3.84,2006-03-27,19:30,2006-03-27,14:30,5,,,clear,Orion,,Street lamp 10 yards away,United States - Virginia
3949,GAN,51.0722,17.0348,124.73,2006-03-24,21:55,2006-03-24,22:55,2,,,1/4 of sky,Orion,,,Poland
3948,GAN,51.0722,17.0348,124.73,2006-03-23,21:40,2006-03-23,22:40,3,,,clear,Orion,,,Poland
3947,GAN,51.0722,17.0348,124.73,2006-03-22,21:10,2006-03-22,22:10,3,,,clear,Orion,,,Poland
3946,GAN,10.49,-61.43,12.0,2006-03-24,22:45,2006-03-24,18:45,7,,,clear,Orion,,,Trinidad and Tobago
3945,GAN,29.907,-89.962,0.0,2006-03-25,19:40,2006-03-25,13:40,5,,,clear,Orion,,,United States - Louisiana
3944,GAN,29.926,-90.124,2.12,2006-03-25,20:00,2006-03-25,14:00,3,,,clear,Orion,,,United States - Louisiana
